GeoFIPS,County,Sector,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
6097,SONOMA,Total,2880.319344,2834.182654,2852.339582,2873.919776,2912.311855,3005.994826,2947.251057,2934.070071,2938.093923,2962.32554,2918.645627,2885.843023,2873.527211,2850.531023,2940.792526,2916.413636,2862.304041,2747.715102,2861.794666,2753.438957,2768.338517,2634.872235,2851.830747,2739.026762,2579.861923,2544.533434,2458.186794,2356.4392,2322.685965,2312.159188,2262.892118,2210.253469,2227.798222,90020.69301
6099,STANISLAUS,Total,5245.207692,5186.243542,5045.130567,4755.086796,4803.317689,4870.090447,4762.968636,4767.088528,4769.421285,4705.08517,4684.148057,4498.619833,4448.450324,4593.776333,4707.71216,4688.05604,4787.615226,4649.940813,4516.660488,4513.590255,4370.670147,4145.370226,4253.608554,4080.812932,3993.592931,3839.909898,3778.333732,3577.477421,3539.102124,3406.75818,3561.054646,3604.274334,3413.683605,144562.8586
6101,SUTTER,Total,661.658305,686.545803,669.829888,633.529771,633.544066,642.760797,628.497769,645.424668,647.497153,646.696397,634.763999,612.359312,599.521541,625.201497,628.610357,620.912107,626.839493,568.814879,564.237055,541.62066,538.535843,520.833091,540.658491,522.881712,496.037019,502.754816,492.259516,468.815044,472.759586,456.858867,453.614728,436.397429,429.461952,18850.73361
6103,TEHAMA,Total,530.785045,539.393235,524.175105,508.044878,506.464392,509.593967,497.342281,496.980306,492.426088,506.743749,505.61941,492.650776,485.632347,501.760286,508.927034,508.552058,476.752639,452.258764,462.683561,444.657652,403.904689,492.162913,487.963951,484.238028,457.55499,464.118562,453.241319,436.337209,430.392864,417.97176,416.302683,410.171236,419.991809,15725.79559
6105,TRINITY,Total,149.642952,158.628059,149.614292,134.91084,130.468034,137.275801,128.558085,111.150244,117.681399,119.382561,111.92438,121.056013,88.636173,93.61484,12.385247,11.402576,71.331344,72.082345,15.351474,23.553919,23.034953,9.762866,10.348639,10.374431,9.706855,10.202311,10.216828,10.048588,10.112048,23.705185,35.354918,36.874063,36.393096,2194.785359
6107,TULARE,Total,4957.696254,4926.539906,4604.829778,4213.196641,4403.135964,4210.307855,4306.006039,4415.914452,4425.968342,4255.301551,4097.51744,3699.072812,3762.38566,3923.467347,3875.450276,3728.328365,3647.887653,3349.787944,3329.017608,3278.358764,3474.531341,3296.784849,3345.251455,3197.388192,2604.626362,2728.979352,2653.71347,2479.983709,2581.896404,2423.992211,2596.442,2528.667805,2576.69279,117899.1206
6109,TUOLUMNE,Total,449.824037,483.204566,457.874114,450.750547,452.481595,460.013533,447.164761,441.448984,440.059053,460.570091,453.862191,445.557765,1461.54642,1416.796687,720.948279,856.154713,1100.150038,475.001781,440.6672,412.436061,427.09867,417.393531,454.582543,435.987509,425.662893,380.866502,353.895899,398.475991,424.178536,455.243558,434.891116,434.914659,431.403327,17801.10715
6111,VENTURA,Total,5558.912878,5358.757881,5454.580426,5454.529073,5441.746367,5505.265961,5453.868005,5591.497053,5484.165397,5395.230985,5519.327671,5468.006747,5448.821319,5585.788499,5917.964219,5696.785775,5689.598136,5649.68741,5577.690202,5339.823698,5578.640813,5164.658848,5872.655899,5370.725471,4992.561183,4868.185675,4661.855835,4555.67988,4527.004183,4440.003169,4400.914947,4411.26973,4490.108507,173926.3118
6113,YOLO,Total,1796.929928,1779.892608,1763.595767,1705.84815,1689.205784,1714.498376,1674.446074,1690.524021,1733.70346,1698.47881,1669.641808,1645.78237,1596.416393,1677.551442,1618.583524,1628.002851,1712.050664,1697.163191,1525.890104,1419.956582,1514.416348,1352.665608,1457.601537,1563.313483,1322.734405,1292.596253,1286.933847,1217.715606,1219.55172,1188.631157,1146.895251,1138.348147,1141.738534,50281.3038
6115,YUBA,Total,572.304358,571.090112,564.650222,509.943569,502.749287,504.212722,481.144062,477.8504,488.02579,488.986051,481.404509,471.064314,465.082166,512.180503,463.233354,475.140635,533.106513,518.089562,462.539338,364.935972,611.635048,497.274225,505.537407,613.997052,442.704047,437.852811,454.685259,423.644993,445.397045,430.521181,464.585537,463.490868,448.122147,16147.18106
